,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS32,1020,539,39319,35978,35455,37719,35696,36596,36993,33833,35133,34694,31127,32326,28154,37086,39040,34736,39334,34367,0,0,0,0,0,0,35920,34748,34552,29897,29555,33346,36106,34915,33312,34823,33377,32880,34229,37210,35796,33449,35335,33870,38883,40386,39297,44105,38821,36699,14179,14107,13373,13820,13496,13294,13802,14350,12820,13723,13513,13413,14673,14663,14314,14517,16050,15142,14055,14463,13626,12769,13862,14119,14142,13440,12959,12746,13182,13299,16718,16946,18895,16977,17393,17067,17007,16273,17476,16939,16747,16242,16289,15560,16392,15624,15965,15647
GS32,1020,540,38316,34928,34437,36647,34684,35603,35917,32919,34262,33657,30350,31469,27275,36046,37957,33782,38180,33392,0,0,0,0,0,0,35031,33896,33629,29111,28796,32399,35087,33911,32470,33854,32427,31867,33313,36321,34745,32574,34399,33102,37783,39166,38186,42771,37734,35696,13787,13792,13073,13495,13153,13002,13466,14013,12538,13398,13187,13116,14412,14311,13955,14185,15680,14766,13684,14104,13253,12440,13510,13816,13764,13154,12588,12421,12862,12920,16299,16508,18412,16498,16895,16670,16567,15938,16976,16479,16339,15873,15859,15159,15960,15232,15551,15331
GS32,1020,541,37797,34583,33923,36137,34249,35129,35451,32567,33711,33250,29980,31109,26910,35537,37316,33306,37664,32879,0,0,0,0,0,0,34415,33487,33178,28766,28442,32055,34651,33396,31921,33297,31990,31388,32875,35735,34334,32207,33977,32671,37151,38762,37642,42269,37228,35283,13487,13487,12803,13249,12872,12701,13137,13679,12253,13098,12868,12820,13992,13977,13652,13831,15346,14454,13397,13771,12947,12136,13235,13495,13445,12849,12367,12166,12533,12655,16075,16257,18177,16279,16668,16436,16404,15683,16778,16223,16102,15606,15645,14993,15737,15076,15304,15062
GS32,1020,542,36270,33162,32625,34767,32868,33724,33911,31266,32330,31817,28810,29853,25812,33986,35809,31901,36166,31419,0,0,0,0,0,0,33192,32061,31825,27599,27372,30737,33196,31990,30608,32030,30532,30035,31498,34301,32890,30819,32496,31259,35622,37117,36033,40476,35599,33668,13001,13034,12365,12779,12514,12339,12786,13271,11852,12647,12451,12399,13609,13502,13216,13385,14792,13934,12953,13344,12504,11803,12768,13044,12994,12393,11934,11748,12137,12236,15476,15658,17443,15669,16074,15766,15791,15105,16178,15653,15479,15054,15006,14391,15145,14508,14763,14482
GS32,1020,543,35377,32257,31845,33873,32055,32908,33176,30422,31637,31106,28077,29134,25208,33236,34999,31143,35154,30737,0,0,0,0,0,0,32277,31239,31083,26921,26587,29919,32372,31228,29819,31249,29791,29290,30787,33482,32159,30162,31780,30589,34802,36232,35133,39456,34762,32867,12765,12725,12062,12484,12146,11967,12460,12932,11559,12358,12193,12107,13204,13193,12903,13066,14512,13671,12639,13067,12205,11495,12475,12730,12661,12089,11649,11521,11856,11972,15147,15312,17084,15268,15696,15376,15421,14700,15748,15243,15194,14751,14665,14062,14793,14100,14381,14138
GS32,1020,544,34136,31167,30749,32747,30999,31791,32031,29450,30615,30099,27134,28210,24369,32121,33742,30165,34074,29666,0,0,0,0,0,0,31242,30238,30104,26067,25678,29147,31417,30231,28889,30181,28876,28349,29820,32395,31057,29112,30679,29513,33628,35041,33998,38175,33491,31855,12287,12359,11634,12026,11710,11602,12000,12490,11148,11912,11744,11648,12741,12738,12454,12572,13952,13219,12182,12538,11796,11078,12095,12251,12242,11651,11266,11070,11404,11550,14627,14809,16527,14809,15188,14964,14908,14236,15229,14788,14737,14250,14208,13581,14320,13671,13943,13692
GS32,1020,545,33255,30301,29846,31812,30142,30867,31168,28601,29700,29223,26347,27337,23618,31226,32851,29277,32999,28804,0,0,0,0,0,0,30319,29328,29108,25327,24914,28187,30571,29292,28022,29240,28078,27531,28927,31387,30211,28335,29841,28713,32686,33977,32949,37082,32675,30855,11960,11995,11312,11751,11371,11299,11657,12121,10825,11607,11427,11300,12447,12386,12102,12281,13573,12778,11897,12221,11497,10779,11733,11941,11890,11361,10922,10811,11102,11196,14161,14394,15986,14376,14708,14489,14484,13859,14789,14334,14217,13781,13784,13183,13847,13246,13525,13254
GS32,1020,546,32305,29397,29003,31008,29275,29976,30287,27697,28746,28356,25592,26543,23026,30257,31939,28367,32054,27991,0,0,0,0,0,0,29400,28485,28292,24470,24272,27331,29559,28532,27231,28391,27179,26749,28057,30541,29356,27532,29000,27818,31808,33058,32054,36075,31694,29946,11539,11616,10903,11308,11001,10867,11228,11744,10460,11230,11009,10942,12021,11967,11701,11840,13106,12382,11411,11821,11047,10462,11307,11544,11533,10913,10547,10425,10721,10824,13761,13943,15548,13987,14233,14105,14046,13443,14367,13909,13854,13432,13435,12834,13492,12900,13153,12838
GS32,1020,547,30880,28159,27803,29692,28009,28750,29027,26616,27633,27129,24569,25524,22061,29019,30546,27242,30734,26829,0,0,0,0,0,0,28259,27334,27060,23493,23186,26150,28382,27335,26106,27294,26061,25694,26881,29259,28071,26360,27858,26696,30445,31734,30690,34545,30407,28786,11161,11159,10546,10917,10597,10502,10888,11304,10132,10829,10646,10547,11568,11530,11258,11427,12633,11973,11044,11333,10692,10052,10922,11121,11065,10584,10189,10070,10372,10464,13233,13399,14914,13420,13673,13487,13457,12912,13808,13340,13217,12815,12852,12293,12944,12337,12615,12353
GS32,1020,548,29871,27201,26807,28574,27093,27683,27926,25637,26616,26220,23564,24565,21284,28031,29526,26262,29668,25933,0,0,0,0,0,0,27240,26306,26133,22605,22333,25166,27386,26374,25156,26343,25238,24780,25980,28279,27138,25418,26830,25812,29434,30543,29654,33354,29386,27792,10746,10728,10170,10526,10250,10095,10470,10915,9712,10427,10272,10130,11162,11134,10892,11000,12213,11507,10654,10944,10282,9697,10500,10725,10673,10160,9815,9659,9950,10056,12774,12924,14376,12934,13270,13015,12986,12402,13283,12878,12739,12356,12403,11867,12445,11865,12095,11879
GS32,1020,549,28947,26452,26016,27764,26282,26911,27187,24946,25873,25415,22928,23779,20743,27201,28661,25514,28826,25213,0,0,0,0,0,0,26416,25504,25314,21948,21632,24390,26535,25642,24501,25639,24541,24116,25273,27438,26236,24642,25949,25020,28623,29767,28834,32325,28607,26958,10370,10346,9754,10108,9865,9736,10120,10469,9330,10048,9878,9800,10748,10710,10478,10581,11714,11041,10266,10560,9886,9339,10127,10299,10273,9840,9436,9324,9622,9696,12402,12577,13967,12512,12845,12630,12625,12070,12933,12491,12316,11988,12014,11488,12127,11517,11733,11480
GS32,1020,550,27953,25390,25101,26771,25288,25893,26128,24014,24864,24476,22048,22901,19900,26176,27550,24565,27804,24297,0,0,0,0,0,0,25418,24527,24286,21043,20824,23404,25569,24658,23590,24755,23660,23327,24299,26397,25317,23689,25046,24074,27444,28709,27779,31200,27555,26002,10040,10037,9475,9820,9502,9401,9775,10210,9121,9751,9575,9486,10402,10377,10176,10270,11406,10726,9941,10227,9556,9023,9803,9997,9998,9494,9176,9028,9301,9390,11928,12106,13439,12069,12337,12159,12097,11638,12450,11951,11906,11523,11537,11051,11622,11027,11264,11006
GS32,1020,551,26833,24367,24012,25637,24205,24883,25105,22979,23890,23487,21158,21956,19148,25204,26464,23617,26673,23325,0,0,0,0,0,0,24374,23516,23278,20175,19987,22503,24593,23688,22655,23827,22769,22391,23310,25384,24361,22730,24028,23152,26389,27551,26673,29995,26449,24961,9617,9617,9069,9367,9104,9012,9373,9773,8731,9321,9188,9099,9965,9983,9755,9838,10909,10302,9506,9808,9192,8651,9370,9594,9531,9097,8815,8620,8896,8939,11456,11573,12916,11562,11864,11614,11666,11143,11849,11481,11336,11044,11101,10613,11098,10540,10755,10551
GS32,1020,552,25944,23641,23371,24793,23533,24146,24284,22275,23146,22709,20475,21244,18550,24455,25621,22882,25862,22637,0,0,0,0,0,0,23572,22812,22610,19561,19251,21718,23831,22985,22022,23042,22136,21718,22578,24544,23567,22114,23275,22459,25627,26733,25901,29177,25680,24246,9339,9305,8837,9095,8864,8735,9119,9452,8464,9064,8917,8855,9743,9683,9489,9558,10582,9959,9196,9560,8952,8396,9150,9265,9285,8849,8494,8389,8624,8761,11064,11245,12480,11174,11492,11273,11250,10784,11525,11148,11021,10658,10702,10232,10747,10238,10443,10211
GS32,1020,553,25122,22903,22579,24171,22796,23392,23579,21597,22408,22052,19810,20516,17949,23641,24880,22210,25092,21982,0,0,0,0,0,0,22864,21996,21791,18922,18674,20938,23048,22257,21321,22348,21401,21147,21838,23809,22789,21356,22561,21703,24839,25945,25160,28245,24851,23456,8978,8946,8454,8801,8540,8395,8798,9141,8147,8707,8543,8482,9355,9336,9097,9194,10219,9602,8921,9168,8593,8090,8774,8904,8909,8506,8210,8093,8339,8399,10712,10906,12113,10852,11124,10944,10894,10451,11147,10736,10653,10301,10403,9910,10392,9957,10057,9878
GS32,1020,554,24635,22540,22192,23599,22506,22953,23126,21137,22028,21622,19438,20220,17612,23210,24424,21769,24706,21687,0,0,0,0,0,0,22441,21651,21395,18523,18270,20550,22634,21822,20920,22019,21101,20843,21467,23293,22422,20994,22180,21331,24428,25452,24732,27791,24506,23093,8846,8830,8336,8636,8375,8258,8664,8988,8033,8602,8422,8392,9229,9167,8996,9068,10078,9490,8769,9037,8484,7910,8616,8827,8841,8388,8091,7952,8211,8292,10544,10650,11847,10650,10900,10749,10743,10257,10915,10513,10417,10110,10165,9717,10197,9714,9921,9686
GS32,1020,555,23748,21755,21457,22792,21634,22154,22228,20358,21157,20852,18640,19464,17001,22420,23563,21026,23825,20832,0,0,0,0,0,0,21604,20782,20638,17808,17617,19813,21860,21132,20189,21211,20395,20151,20650,22474,21583,20239,21337,20484,23607,24586,23813,26788,23597,22290,8553,8538,8053,8350,8106,7989,8369,8635,7770,8258,8152,8111,8890,8852,8674,8803,9725,9112,8493,8733,8176,7694,8342,8500,8548,8111,7796,7737,7920,8018,10123,10262,11413,10277,10496,10332,10307,9869,10495,10127,9995,9711,9795,9355,9769,9352,9515,9274
GS32,1020,556,23134,21148,20860,22164,21041,21454,21618,19870,20592,20273,18226,18913,16554,21713,22960,20486,23305,20384,0,0,0,0,0,0,21019,20202,20041,17332,17103,19206,21246,20548,19702,20664,19846,19621,20066,21900,20986,19659,20764,19944,22976,23979,23201,26083,22900,21709,8304,8291,7840,8098,7869,7751,8134,8450,7537,8101,7933,7862,8694,8649,8417,8515,9414,8921,8265,8513,7980,7493,8128,8285,8291,7945,7621,7477,7717,7782,9880,9962,11120,9949,10160,10052,10047,9577,10170,9836,9722,9452,9514,9077,9542,9058,9221,9015
GS32,1020,557,22435,20497,20250,21558,20419,20907,21035,19324,19930,19624,17682,18326,16037,21188,22314,19947,22558,19700,0,0,0,0,0,0,20406,19609,19498,16850,16573,18633,20662,19941,19108,20094,19262,19056,19533,21159,20399,19030,20140,19374,22352,23314,22647,25407,22346,21075,8071,8065,7617,7832,7644,7549,7876,8204,7332,7847,7700,7633,8404,8374,8182,8276,9183,8650,8022,8215,7746,7280,7873,8054,8050,7678,7341,7239,7472,7550,9519,9662,10747,9625,9875,9713,9744,9277,9880,9517,9453,9116,9234,8801,9183,8781,8943,8715
GS32,1020,558,21605,19746,19536,20765,19650,20094,20308,18528,19284,18889,17002,17605,15457,20356,21462,19137,21673,19053,0,0,0,0,0,0,19641,18967,18742,16181,16017,17955,19978,19268,18398,19333,18599,18388,18787,20525,19639,18358,19388,18631,21539,22385,21736,24450,21449,20302,7762,7759,7265,7554,7354,7251,7585,7872,7071,7510,7401,7318,8063,8019,7842,7917,8822,8309,7717,7953,7411,6964,7584,7725,7738,7366,7092,6998,7195,7243,9186,9297,10370,9321,9474,9372,9361,8884,9504,9129,9055,8786,8842,8460,8852,8485,8580,8397
GS32,1020,559,20917,19131,18899,20099,18976,19477,19604,17975,18574,18360,16500,17095,15000,19757,20838,18571,21096,18437,0,0,0,0,0,0,19045,18384,18140,15684,15519,17414,19237,18676,17881,18825,18086,17898,18253,19835,19033,17841,18767,18097,20879,21790,21114,23758,20851,19742,7490,7508,7048,7294,7083,6983,7347,7599,6806,7278,7139,7094,7784,7782,7591,7653,8520,8037,7463,7645,7179,6760,7327,7447,7501,7116,6871,6761,6958,7000,8862,8996,10068,8986,9171,9071,9042,8635,9173,8845,8784,8531,8591,8186,8549,8182,8337,8127
GS32,1020,560,20108,18289,18066,19158,18230,18668,18777,17142,17825,17502,15752,16396,14266,18844,19869,17756,20188,17755,0,0,0,0,0,0,18248,17550,17367,14969,14793,16637,18435,17855,17081,18007,17277,17068,17460,18951,18231,17039,17946,17302,19941,20812,20248,22672,20015,18853,7152,7104,6715,6953,6765,6668,7017,7231,6498,6953,6865,6769,7466,7402,7257,7365,8141,7672,7151,7320,6839,6441,6999,7150,7161,6816,6560,6427,6636,6715,8462,8591,9616,8611,8809,8658,8625,8242,8759,8449,8382,8119,8215,7838,8188,7829,7933,7760
GS32,1020,561,19280,17581,17365,18443,17532,17939,18059,16498,17071,16819,15156,15658,13740,18105,19077,17103,19329,16982,0,0,0,0,0,0,17536,16872,16673,14422,14218,15982,17729,17085,16407,17297,16614,16422,16751,18235,17420,16347,17199,16574,19175,20066,19445,21802,19257,18110,6893,6878,6498,6715,6537,6442,6776,7002,6291,6721,6620,6566,7194,7148,7038,7110,7843,7423,6845,7042,6611,6241,6763,6877,6898,6564,6348,6190,6393,6469,8150,8261,9189,8270,8460,8327,8294,7936,8439,8142,8045,7787,7889,7508,7862,7503,7621,7440
GS32,1020,562,18586,17011,16751,17818,16891,17323,17389,15962,16496,16270,14608,15190,13279,17537,18506,16470,18689,16422,0,0,0,0,0,0,16957,16357,16103,13950,13752,15497,17138,16509,15904,16708,16119,15921,16147,17619,16905,15807,16712,16040,18554,19395,18816,21106,18512,17648,6667,6667,6276,6522,6316,6252,6570,6790,6053,6506,6369,6369,6938,6927,6789,6873,7580,7188,6672,6864,6401,6035,6530,6686,6682,6361,6153,6039,6224,6276,7861,7989,8851,7938,8158,8036,8024,7620,8127,7852,7789,7531,7601,7241,7610,7281,7392,7198
GS32,1020,563,17720,16232,15989,17021,16107,16539,16546,15208,15771,15518,13943,14457,12712,16715,17705,15720,17920,15707,0,0,0,0,0,0,16155,15558,15399,13273,13130,14784,16386,15770,15185,15975,15315,15190,15467,16824,16092,15074,15897,15331,17677,18518,17943,20139,17729,16786,6329,6335,5975,6180,6015,5922,6203,6444,5749,6196,6059,6030,6628,6578,6436,6508,7216,6810,6312,6514,6124,5743,6227,6354,6353,6056,5846,5749,5905,5938,7521,7590,8471,7594,7773,7645,7625,7261,7735,7458,7426,7191,7298,6928,7276,6926,7046,6866
GS32,1020,564,17275,15658,15539,16581,15702,16043,16137,14770,15269,15031,13547,14080,12311,16202,17138,15326,17322,15247,0,0,0,0,0,0,15633,15119,14977,12963,12750,14330,15879,15323,14667,15501,14882,14705,14990,16315,15638,14637,15460,14870,17166,18026,17413,19546,17243,16260,6161,6136,5794,5976,5809,5752,6026,6221,5572,5988,5887,5865,6431,6365,6251,6292,6988,6616,6097,6286,5881,5527,6035,6139,6166,5875,5638,5535,5713,5746,7259,7378,8182,7383,7591,7449,7416,7080,7513,7281,7210,6932,7029,6701,7022,6699,6831,6683
GS32,1020,565,16448,15060,14829,15751,14947,15356,15430,14153,14623,14380,12950,13426,11777,15500,16403,14637,16598,14546,0,0,0,0,0,0,15004,14416,14282,12366,12146,13713,15169,14679,14051,14849,14198,14099,14356,15564,14914,13980,14804,14189,16448,17160,16653,18644,16468,15588,5891,5850,5514,5717,5554,5495,5753,5967,5354,5720,5660,5578,6135,6139,5948,6042,6671,6313,5851,6028,5648,5330,5777,5899,5903,5604,5400,5337,5462,5538,6975,7041,7826,7053,7203,7137,7085,6780,7215,6967,6887,6689,6745,6416,6733,6471,6559,6355
GS32,1020,566,15771,14441,14233,15129,14346,14694,14721,13480,13995,13735,12422,12894,11275,14844,15684,14015,15910,13909,0,0,0,0,0,0,14365,13784,13693,11842,11661,13105,14490,14042,13438,14204,13613,13435,13708,14930,14310,13392,14111,13566,15726,16450,15932,17957,15759,14904,5654,5622,5305,5496,5348,5257,5522,5766,5156,5474,5419,5376,5921,5861,5744,5804,6442,6063,5637,5814,5397,5105,5529,5642,5653,5411,5186,5108,5212,5285,6675,6749,7490,6709,6879,6757,6780,6465,6896,6673,6612,6393,6441,6139,6477,6137,6259,6123
GS32,1020,567,15132,13833,13650,14525,13738,14047,14143,12961,13412,13191,11900,12336,10831,14277,14979,13442,15205,13361,0,0,0,0,0,0,13789,13318,13190,11401,11236,12636,13924,13489,12944,13623,13045,12891,13156,14355,13719,12845,13549,13038,15060,15748,15298,17169,15109,14262,5443,5427,5107,5312,5126,5083,5318,5545,4940,5304,5185,5197,5689,5646,5515,5562,6197,5844,5406,5589,5204,4930,5337,5450,5447,5188,4989,4915,5052,5118,6421,6463,7244,6502,6590,6509,6531,6215,6621,6389,6329,6134,6229,5923,6190,5921,5977,5869
GS32,1020,568,14576,13320,13140,13960,13217,13527,13605,12502,13014,12755,11508,11950,10410,13697,14464,12967,14619,12880,0,0,0,0,0,0,13260,12841,12713,10978,10760,12176,13437,12973,12498,13071,12571,12436,12711,13772,13245,12394,13115,12533,14570,15191,14755,16543,14587,13741,5232,5232,4908,5090,4929,4880,5127,5307,4762,5090,5014,4974,5432,5405,5323,5387,5933,5620,5219,5358,5042,4736,5112,5218,5253,5004,4808,4716,4878,4909,6144,6275,6992,6245,6369,6316,6310,6001,6410,6215,6121,5949,6024,5718,6000,5734,5787,5655
GS32,1020,569,13744,12561,12362,13210,12491,12772,12879,11832,12244,12025,10836,11225,9838,12924,13746,12196,13837,12146,0,0,0,0,0,0,12550,12139,11994,10423,10252,11533,12701,12278,11781,12393,11839,11733,12042,13059,12455,11695,12392,11870,13701,14342,13912,15624,13739,12987,4933,4922,4667,4828,4681,4604,4836,5034,4498,4799,4733,4689,5158,5127,5006,5050,5647,5315,4940,5079,4736,4486,4858,4947,4958,4721,4579,4437,4611,4656,5816,5889,6582,5865,6029,5954,5946,5674,6053,5843,5791,5588,5695,5416,5662,5404,5488,5399
GS32,1020,570,13374,12217,12116,12868,12182,12459,12507,11480,11960,11704,10551,10923,9519,12630,13285,11858,13495,11770,0,0,0,0,0,0,12268,11799,11674,10090,9977,11255,12353,11932,11421,11999,11533,11390,11685,12676,12108,11397,12018,11527,13325,13890,13524,15120,13356,12655,4749,4742,4493,4641,4494,4458,4677,4822,4332,4621,4576,4542,4961,4945,4814,4888,5434,5103,4737,4913,4580,4276,4682,4760,4790,4523,4388,4314,4419,4507,5650,5746,6409,5757,5871,5786,5790,5528,5900,5707,5624,5457,5522,5300,5528,5249,5369,5230
GS32,1020,571,12655,11549,11409,12139,11492,11812,11822,10810,11248,11085,10029,10331,9031,11883,12553,11227,12730,11168,0,0,0,0,0,0,11607,11163,11057,9596,9472,10613,11669,11244,10822,11291,10893,10746,11077,11997,11525,10801,11352,10939,12589,13122,12737,14332,12652,11926,4539,4523,4289,4433,4303,4261,4434,4620,4136,4419,4385,4334,4750,4699,4625,4675,5182,4884,4518,4692,4359,4117,4468,4585,4579,4335,4185,4122,4246,4282,5401,5419,6060,5432,5547,5496,5472,5283,5586,5390,5354,5206,5231,4987,5235,4997,5078,5007
GS32,1020,572,12191,11192,10952,11696,11108,11377,11410,10464,10847,10681,9657,9992,8725,11530,12135,10857,12285,10730,0,0,0,0,0,0,11185,10844,10697,9247,9153,10307,11254,10874,10401,10907,10507,10333,10676,11589,11109,10373,10944,10565,12111,12691,12250,13808,12162,11513,4383,4377,4118,4290,4157,4112,4290,4447,3997,4247,4198,4172,4564,4561,4467,4495,4985,4717,4363,4495,4245,3967,4349,4398,4421,4195,4042,3963,4101,4118,5157,5226,5849,5246,5386,5289,5299,5044,5372,5211,5200,5027,5075,4840,5080,4804,4923,4823
GS32,1020,573,11685,10734,10608,11218,10692,10939,11028,10119,10480,10280,9306,9632,8410,11123,11635,10412,11824,10317,0,0,0,0,0,0,10757,10420,10331,8919,8813,9924,10834,10480,10064,10509,10074,9880,10258,11097,10673,10006,10549,10196,11647,12141,11807,13287,11745,11096,4187,4170,3954,4085,3995,3914,4078,4259,3792,4072,4044,3965,4355,4344,4236,4297,4786,4532,4160,4314,4038,3805,4105,4224,4197,4003,3852,3809,3922,3963,4970,5050,5610,5038,5149,5076,5076,4853,5192,5028,4939,4826,4867,4641,4862,4643,4745,4690
GS32,1020,574,11192,10209,10099,10761,10190,10422,10529,9609,9945,9841,8830,9168,8003,10545,11120,9903,11230,9826,0,0,0,0,0,0,10341,9972,9884,8537,8435,9521,10364,9977,9548,10004,9604,9491,9801,10593,10227,9578,10089,9699,11160,11615,11265,12710,11185,10610,3991,3999,3773,3917,3826,3784,3931,4066,3652,3915,3839,3824,4185,4167,4058,4106,4597,4313,3982,4111,3863,3646,3971,4051,4015,3839,3713,3655,3743,3789,4802,4851,5382,4857,4965,4889,4852,4627,4976,4810,4748,4617,4664,4468,4694,4454,4553,4445
GS32,1020,575,10805,9862,9726,10387,9811,10083,10145,9324,9646,9544,8568,8884,7732,10159,10703,9571,10853,9478,0,0,0,0,0,0,9912,9601,9541,8238,8159,9165,9987,9634,9215,9627,9254,9136,9426,10275,9842,9277,9714,9405,10691,11165,10863,12195,10770,10202,3887,3873,3667,3784,3685,3674,3778,3926,3519,3774,3725,3711,4068,4061,3951,3997,4451,4166,3889,3982,3730,3545,3847,3922,3896,3745,3576,3568,3632,3700,4588,4641,5183,4672,4780,4708,4701,4527,4806,4635,4600,4468,4510,4292,4529,4305,4408,4318
GS32,1020,576,10308,9481,9336,9935,9443,9638,9719,8934,9254,9125,8222,8544,7396,9761,10312,9170,10395,9078,0,0,0,0,0,0,9571,9199,9173,7970,7850,8830,9569,9302,8848,9234,8859,8702,9044,9841,9485,8881,9344,8997,10293,10744,10384,11677,10348,9747,3727,3756,3551,3679,3567,3522,3648,3814,3405,3663,3616,3546,3899,3873,3809,3857,4250,4032,3731,3844,3616,3402,3708,3798,3749,3568,3432,3392,3506,3559,4406,4450,4985,4453,4561,4505,4503,4288,4619,4472,4417,4295,4323,4142,4331,4142,4252,4155
GS32,1020,577,9820,8940,8884,9459,8964,9171,9238,8501,8803,8635,7834,8153,7067,9288,9798,8746,9893,8622,0,0,0,0,0,0,9125,8765,8762,7564,7495,8463,9085,8782,8440,8768,8428,8281,8634,9375,8986,8421,8874,8552,9740,10211,9874,11124,9826,9268,3525,3581,3399,3505,3391,3370,3472,3627,3244,3476,3421,3396,3743,3705,3622,3644,4059,3861,3555,3674,3421,3246,3524,3606,3574,3412,3302,3244,3327,3387,4170,4275,4751,4263,4359,4305,4253,4119,4388,4240,4215,4091,4114,3917,4136,3966,4043,3969
GS32,1020,578,9482,8675,8498,9119,8628,8798,8931,8129,8479,8362,7559,7849,6767,8933,9402,8415,9468,8328,0,0,0,0,0,0,8703,8435,8410,7292,7186,8124,8770,8426,8053,8441,8055,7902,8288,8995,8651,8090,8540,8193,9363,9764,9482,10662,9405,8919,3436,3447,3222,3363,3260,3236,3326,3478,3132,3345,3294,3297,3595,3530,3460,3516,3898,3676,3403,3529,3310,3150,3400,3461,3451,3264,3173,3106,3197,3253,4051,4071,4552,4085,4179,4126,4113,3986,4232,4080,4060,3951,3948,3807,3989,3821,3907,3799
GS32,1020,579,8878,8101,8043,8566,8108,8280,8381,7692,8005,7882,7088,7385,6375,8403,8867,7879,8894,7816,0,0,0,0,0,0,8215,7954,7916,6861,6808,7677,8227,7913,7572,7947,7555,7455,7843,8483,8137,7616,8016,7718,8808,9180,8924,10056,8869,8369,3213,3231,3060,3159,3073,3045,3142,3280,2918,3142,3113,3084,3346,3345,3272,3314,3692,3471,3210,3330,3119,2943,3192,3266,3229,3066,2961,2937,3014,3048,3760,3844,4251,3861,3932,3874,3876,3724,3970,3840,3815,3717,3715,3567,3766,3613,3665,3621
GS32,1020,580,8588,7828,7764,8235,7800,8024,8072,7415,7755,7590,6835,7143,6193,8160,8533,7602,8587,7478,0,0,0,0,0,0,7903,7662,7641,6650,6547,7396,7925,7616,7276,7626,7258,7155,7502,8163,7854,7369,7725,7444,8467,8879,8585,9661,8505,8069,3077,3077,2939,3042,2969,2933,3023,3152,2819,3017,2981,2959,3208,3201,3134,3192,3536,3334,3105,3176,2999,2821,3074,3146,3095,2960,2843,2831,2903,2953,3650,3687,4103,3732,3791,3755,3750,3593,3828,3741,3699,3599,3581,3457,3629,3475,3545,3496
GS32,1020,581,8054,7385,7259,7758,7335,7534,7599,7001,7280,7167,6464,6711,5813,7622,7980,7134,8081,7036,0,0,0,0,0,0,7527,7202,7196,6263,6185,6995,7459,7160,6860,7170,6832,6730,7093,7658,7368,6922,7285,7013,7967,8273,8018,9073,7974,7602,2908,2926,2761,2887,2810,2767,2841,2952,2665,2854,2813,2776,3030,3003,2952,2988,3321,3138,2894,2994,2802,2669,2906,2959,2914,2757,2699,2665,2740,2773,3438,3511,3889,3485,3584,3528,3528,3401,3617,3514,3490,3387,3373,3239,3425,3286,3369,3296
GS32,1020,582,7859,7146,7066,7518,7124,7302,7405,6799,7118,6987,6291,6581,5611,7444,7806,6955,7841,6843,0,0,0,0,0,0,7262,7051,7034,6026,6014,6802,7250,7008,6689,6992,6652,6533,6883,7480,7143,6706,7091,6837,7770,8051,7810,8768,7775,7341,2812,2836,2694,2801,2725,2705,2758,2868,2575,2766,2737,2723,2928,2941,2885,2906,3235,3039,2818,2909,2743,2576,2822,2874,2836,2714,2628,2569,2654,2706,3354,3401,3786,3426,3482,3445,3427,3287,3516,3409,3372,3293,3309,3172,3319,3209,3244,3216
GS32,1020,583,7509,6910,6833,7205,6844,7009,7069,6538,6785,6699,6030,6308,5405,7101,7535,6661,7504,6567,0,0,0,0,0,0,6946,6776,6745,5854,5797,6557,6959,6652,6396,6674,6333,6215,6607,7160,6893,6411,6819,6561,7389,7697,7474,8455,7455,7051,2711,2723,2592,2678,2606,2589,2654,2773,2493,2638,2623,2597,2845,2819,2768,2787,3081,2927,2716,2788,2645,2487,2682,2759,2729,2601,2502,2469,2558,2575,3228,3264,3634,3250,3347,3301,3304,3168,3387,3291,3274,3180,3157,3052,3227,3092,3142,3098
GS32,1020,584,7275,6622,6561,6983,6618,6767,6856,6316,6572,6469,5851,6099,5216,6874,7178,6454,7251,6316,0,0,0,0,0,0,6702,6547,6521,5634,5581,6310,6750,6469,6202,6435,6152,6002,6385,6920,6646,6254,6575,6351,7144,7440,7201,8136,7189,6800,2609,2632,2509,2626,2534,2512,2574,2676,2399,2576,2538,2509,2741,2735,2680,2721,3011,2829,2637,2724,2552,2415,2638,2687,2668,2549,2446,2420,2470,2515,3127,3150,3536,3164,3235,3177,3175,3072,3288,3183,3171,3082,3060,2935,3107,3007,3052,3002
GS32,1020,585,6960,6378,6318,6696,6348,6521,6574,6074,6307,6228,5635,5838,5019,6595,6936,6176,6983,6123,0,0,0,0,0,0,6503,6312,6282,5489,5396,6094,6473,6211,5925,6194,5895,5797,6121,6644,6407,6015,6318,6072,6893,7189,6942,7838,6884,6539,2543,2549,2426,2516,2445,2399,2497,2582,2310,2459,2467,2446,2637,2648,2580,2601,2903,2738,2503,2614,2452,2310,2533,2568,2565,2429,2348,2304,2416,2419,3002,3026,3391,3067,3133,3075,3076,2967,3192,3087,3094,2975,2953,2844,2986,2895,2950,2895
